Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2		FALSE	FALSE	FALSE		[Annot]			Table 166 and Table 191 and Table 226 (NOT markup annot)
Subtype	name	1.2		TRUE	FALSE	FALSE		[Widget]			
Rect	rectangle	1.2		TRUE	FALSE	FALSE					
Contents	string-text	1.2		FALSE	FALSE	FALSE					
P	dictionary	1.3		FALSE	TRUE	FALSE				[PageObject]	
NM	string-text	1.4		FALSE	FALSE	FALSE					
M	date;string-text	1.2		FALSE	FALSE	FALSE					
F	bitmask	1.2		FALSE	FALSE	FALSE	0		[fn:Eval(fn:BeforeVersion(1.3,fn:BitsClear(4,32)) && fn:BeforeVersion(1.4,fn:BitsClear(8,32)) && fn:BeforeVersion(1.5,fn:BitsClear(9,32)) && fn:BeforeVersion(1.6,fn:BitsClear(10,32)) && fn:SinceVersion(1.7,fn:BitsClear(11,32)))]		Table 167
AP	dictionary	1.2		fn:IsRequired(fn:SinceVersion(2.0,(fn:RectWidth(Rect)>0) || (fn:RectHeight(Rect)>0)))	FALSE	FALSE				[Appearance]	
AS	name	1.2		fn:IsRequired(fn:IsPresent(AP::N::*) || fn:IsPresent(AP::R::*) || fn:IsPresent(AP::D::*))	FALSE	FALSE					
Border	array	1.2		FALSE	FALSE	FALSE	[0 0 1]		[fn:Ignore(fn:IsPresent(BS))]	[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.2		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3		FALSE	FALSE	FALSE					Table 359
OC	dictionary	1.5		FALSE	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
H	name	1.2		FALSE	FALSE	FALSE	I	[N,I,O,P,T]			
MK	dictionary	1.2		FALSE	FALSE	FALSE				[AppearanceCharacteristics]	
A	dictionary	1.2		FALSE	FALSE	FALSE				[ActionGoTo,ActionGoToR,ActionGoToE,ActionLaunch,ActionThread,ActionURI,ActionSound,ActionMovie,ActionHide,ActionNamed,ActionSubmitForm,ActionResetForm,ActionImportData,ActionSetOCGState,ActionRendition,ActionTransition,ActionGoTo3DView,ActionECMAScript]	
AA	dictionary	1.2		FALSE	FALSE	FALSE				[AddActionWidgetAnnotation]	
BS	dictionary	1.2		FALSE	FALSE	FALSE				[BorderStyle]	
Parent	dictionary	1.2		FALSE	FALSE	FALSE				[Field]	
Kids	array	1.2		FALSE	FALSE	FALSE				[ArrayOfFields]	
T	string-text	1.2		FALSE	FALSE	FALSE					
TU	string-text	1.3		FALSE	FALSE	FALSE					
TM	string-text	1.3		FALSE	FALSE	FALSE					
Ff	bitmask	1.2		FALSE	FALSE	FALSE					
PMD	dictionary	fn:Extension(ADBE_Extn3)	2.0	FALSE	FALSE	FALSE				[PaperMetaData]	Adobe Extension Level 3 for PaperMetaData
