Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.3		FALSE	FALSE		[Annot]		
Subtype	name	1.3		TRUE	FALSE		[Underline]		
Rect	rectangle	1.3		TRUE	FALSE				
Contents	string-text	1.3		FALSE	FALSE				
P	dictionary	1.3		FALSE	FALSE				[PageObject]
NM	string-text	1.4		FALSE	FALSE				
M	date;string-text	1.3		FALSE	FALSE				
F	integer	1.3		FALSE	FALSE	0			
AP	dictionary	1.3		FALSE	FALSE				[Appearance]
AS	name	1.3		FALSE	FALSE				
Border	array	1.3		FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]
C 	array	1.3		FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]
StructParent	integer	1.3		FALSE	FALSE				
OC	dictionary	1.5		FALSE	FALSE				[OptContentGroup,OptContentMembership]
T 	string-text	1.3		FALSE	FALSE				
Popup	dictionary	1.3		FALSE	FALSE				[AnnotPopup]
RC	stream;string-text	1.5		FALSE	FALSE				[Stream];[]
CreationDate	date	1.5		FALSE	FALSE				
IRT	dictionary	1.5		FALSE	FALSE			Required=True:IsPresent->RT	[AnnotText,AnnotLink,AnnotFreeText,AnnotLine,AnnotSquare,AnnotCircle,AnnotPolygon,AnnotHighlight,AnnotUnderline,AnnotSquiggly,AnnotStrikeOut,AnnotCaret,AnnotStamp,AnnotInk,AnnotPopup,AnnotFileAttachment,AnnotSound,AnnotMovie,AnnotScreen,AnnotWidget,AnnotPrinterMark,AnnotWatermark,Annot3D,AnnotRedact,AnnotProjection,AnnotRichMedia]
Subj	string-text	1.5		FALSE	FALSE				
QuadPoints	array	1.3		TRUE	FALSE				[ArrayOfQuadPoints]
