Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
Type	name	1.5		FALSE	FALSE			[SVCert]		
Ff	integer	1.5		FALSE	FALSE		0			
Subject	array	1.5		FALSE	FALSE					[]
SignaturePolicyOID	string-ascii	2.0		FALSE	FALSE					
SignaturePolicyHashValue	string	2.0		FALSE	FALSE					
SignaturePolicyHashAlgorithm	name	2.0		FALSE	FALSE					
SignaturePolicyCommitmentType	array	2.0		FALSE	FALSE					[]
SubjectDN	array	1.7		FALSE	FALSE					[ArrayOfSubjectDN]
KeyUsage	array	1.7		FALSE	FALSE					[]
Issuer	array	1.5		FALSE	FALSE					[]
OID	array	1.5		FALSE	FALSE					[]
URL	string-ascii	1.5		FALSE	FALSE					
URLType	name	1.7		FALSE	FALSE		Browser	[Browser]		
