Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link	
Type	name	1.0		FALSE	FALSE			[XObject]			
Subtype	name	1.0		TRUE	FALSE			[Image]			
Width	integer	1.0		TRUE	FALSE						
Height	integer	1.0		TRUE	FALSE						
ColorSpace	name	1.0		TRUE	FALSE			[DeviceGray]			
BitsPerComponent	integer	1.0		TRUE	FALSE						
ImageMask	boolean	1.0		FALSE	FALSE		FALSE				
Decode	array	1.0		FALSE	FALSE					[]	
Interpolate	boolean	1.0		FALSE	FALSE		FALSE				
Matte	array	1.4		FALSE	FALSE					[]	
Length	integer	1.3		TRUE	FALSE						* from stream
Filter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
DecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
F 	dictionary;string	1.3		FALSE	FALSE					[FileSpecification];[]	
FFilter	array;name	1.3		FALSE	FALSE			[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode,CCITTFaxDecode,JBIG2Decode,DCTDecode,JPXDecode,Crypt]		[ArrayOfFilterNames];[]	
FDecodeParms	array;dictionary	1.3		FALSE	FALSE					[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode,FilterCCITTFaxDecode,FilterJBIG2Decode,FilterDCTDecode,FilterCrypt]	
DL	integer	1.5		FALSE	FALSE						
