Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	DefaultValue	PossibleValues	SpecialCase	Link	Note
FT	name	1.2		TRUE	FALSE		[Tx]			
Parent	dictionary	1.2		FALSE	FALSE				[FieldTx,FieldBtn,FieldCh,FieldSig,Field]	
Kids	array	1.2		FALSE	FALSE				[ArrayOfFields]	
T	string-text	1.2		TRUE	FALSE					
TU	string-text	1.3		FALSE	FALSE					
TM	string-text	1.3		FALSE	FALSE					
Ff	integer	1.2		FALSE	FALSE					
V	stream;string-text	1.2		FALSE	FALSE				[Stream];[]	
DV	stream;string-text	1.2		FALSE	FALSE				[Stream];[]	
AA	dictionary	1.2		FALSE	FALSE				[AddActionFormField]	
DA	string	1.2		TRUE	FALSE			Inheritable		
Q	integer	1.2		FALSE	FALSE	0	[0,1,2]			
DS	string-text	1.5		FALSE	FALSE					
RV	stream;string-text	1.5		FALSE	FALSE				[Stream];[]	
MaxLen	integer	1.2		FALSE	FALSE			Inheritable		
