Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.3		FALSE	FALSE	FALSE		[Annot]			Table 166 and Table 172 and Table 184 (markup annot)
Subtype	name	1.3		TRUE	FALSE	FALSE		[Stamp]			
Rect	rectangle	1.3		TRUE	FALSE	FALSE					
Contents	string-text	1.3		FALSE	FALSE	FALSE					
P	dictionary	1.3		FALSE	TRUE	FALSE				[PageObject]	
NM	string-text	1.4		FALSE	FALSE	FALSE					
M	date;string-text	1.3		FALSE	FALSE	FALSE					
F	bitmask	1.3		FALSE	FALSE	FALSE	0		[fn:Eval(fn:BeforeVersion(1.4,fn:BitsClear(8,32)) && fn:BeforeVersion(1.5,fn:BitsClear(9,32)) && fn:BeforeVersion(1.6,fn:BitsClear(10,32)) && fn:SinceVersion(1.7,fn:BitsClear(11,32)))]		
AP	dictionary	1.3		fn:IsRequired(fn:SinceVersion(2.0,(fn:RectWidth(Rect)>0) || (fn:RectHeight(Rect)>0)))	FALSE	FALSE				[Appearance]	
AS	name	1.3		fn:IsRequired(fn:IsPresent(AP::N::*) || fn:IsPresent(AP::R::*) || fn:IsPresent(AP::D::*))	FALSE	FALSE					
Border	array	1.3		FALSE	FALSE	FALSE	[0 0 1]			[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.3		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.3		FALSE	FALSE	FALSE					
OC	dictionary	1.5		FALSE	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
CA	number	1.4		FALSE	FALSE	FALSE	1.0	[fn:Eval((@CA>=0.0) && (@CA<=1.0))]			
T	string-text	1.3		FALSE	FALSE	FALSE					
Popup	dictionary	1.3		FALSE	TRUE	FALSE				[AnnotPopup]	
RC	stream;string-text	1.5		FALSE	[TRUE];[FALSE]	FALSE				[Stream];[]	
CreationDate	date	1.5		FALSE	FALSE	FALSE					
IRT	dictionary	1.5		fn:IsRequired(fn:IsPresent(RT))	FALSE	FALSE				[AnnotText,AnnotLink,AnnotFreeText,AnnotLine,AnnotSquare,AnnotCircle,AnnotPolygon,AnnotHighlight,AnnotUnderline,AnnotSquiggly,AnnotStrikeOut,AnnotCaret,AnnotStamp,AnnotInk,AnnotPopup,AnnotFileAttachment,AnnotSound,AnnotMovie,AnnotScreen,AnnotWidget,AnnotPrinterMark,AnnotWatermark,Annot3D]	
Subj	string-text	1.5		FALSE	FALSE	FALSE					
RT	name	1.6		FALSE	FALSE	FALSE	R	[R,Group]	[fn:IsMeaningful(fn:IsPresent(IRT))]		
Name	name	1.3		FALSE	FALSE	FALSE	Draft	[Approved,Experimental,NotApproved,AsIs,Expired,NotForPublicRelease,Confidential,Final,Sold,Departmental,ForComment,TopSecret,Draft,ForPublicRelease,*]			
