Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.5		FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.5		TRUE	FALSE	FALSE		[Polygon]			
Rect	rectangle	1.5		TRUE	FALSE	FALSE					
Contents	string-text	1.5		FALSE	FALSE	FALSE					
P	dictionary	1.5		FALSE	TRUE	FALSE				[PageObject]	
NM	string-text	1.5		FALSE	FALSE	FALSE					
M	date;string-text	1.5		FALSE	FALSE	FALSE					
F	bitmask	1.5		FALSE	FALSE	FALSE	0		[fn:Eval(fn:BeforeVersion(1.7,fn:BitsClear(10,32)) && fn:SinceVersion(1.7,fn:BitsClear(11,32)))]		
AP	dictionary	1.5		fn:IsRequired(fn:SinceVersion(2.0,(fn:RectWidth(Rect)>0) || (fn:RectHeight(Rect)>0)))	FALSE	FALSE				[Appearance]	
AS	name	1.5		fn:IsRequired(fn:IsPresent(AP::N::*) || fn:IsPresent(AP::R::*) || fn:IsPresent(AP::D::*))	FALSE	FALSE					
Border	array	1.5		FALSE	FALSE	FALSE	[0 0 1]		[fn:Ignore(BS)]	[ArrayOf_4AnnotBorderCharacteristics]	
C	array	1.5		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
StructParent	integer	1.5		FALSE	FALSE	FALSE					
OC	dictionary	1.5		FALSE	FALSE	FALSE				[OptContentGroup,OptContentMembership]	
T	string-text	1.5		FALSE	FALSE	FALSE					
Popup	dictionary	1.5		FALSE	TRUE	FALSE				[AnnotPopup]	
RC	stream;string-text	1.5		FALSE	[TRUE];[FALSE]	FALSE				[Stream];[]	
CreationDate	date	1.5		FALSE	FALSE	FALSE					
IRT	dictionary	1.5		fn:IsRequired(fn:IsPresent(RT))	FALSE	FALSE				[AnnotText,AnnotLink,AnnotFreeText,AnnotLine,AnnotSquare,AnnotCircle,AnnotPolygon,AnnotHighlight,AnnotUnderline,AnnotSquiggly,AnnotStrikeOut,AnnotCaret,AnnotStamp,AnnotInk,AnnotPopup,AnnotFileAttachment,AnnotSound,AnnotMovie,AnnotScreen,AnnotWidget,AnnotPrinterMark,AnnotWatermark,Annot3D]	
Subj	string-text	1.5		FALSE	FALSE	FALSE					
RT	name	1.6		FALSE	FALSE	FALSE	R	[R,Group]	[fn:IsMeaningful(fn:IsPresent(IRT))]		
Vertices	array	1.5		fn:IsRequired(fn:Not(fn:IsPresent(Path)))	FALSE	FALSE			[fn:Ignore(fn:IsPresent(Path))]	[ArrayOfNumbersGeneral]	
LE	array	1.5		FALSE	FALSE	FALSE	[None None]		[fn:IsMeaningful(@Subtype==Polyline)]	[ArrayOf_2LineEndingsNames]	
BS	dictionary	1.5		FALSE	FALSE	FALSE				[BorderStyle]	
IC	array	1.5		FALSE	FALSE	FALSE				[ArrayOf_4NumbersColorAnnotation]	
BE	dictionary	1.5		FALSE	FALSE	FALSE			[fn:IsMeaningful(@Subtype==Polygon)]	[BorderEffect]	
IT	name	1.6		FALSE	FALSE	FALSE		[PolygonCloud]			
