Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2	2.0	FALSE	FALSE	FALSE		[Annot]			
Subtype	name	1.2	2.0	TRUE	FALSE	FALSE		[Movie]			
Rect	rectangle	1.2	2.0	TRUE	FALSE	FALSE					
Contents	string-text	1.2	2.0	FALSE	FALSE	FALSE					
P	dictionary	1.3	2.0	FALSE	TRUE	FALSE				[fn:SinceVersion(1.0,PageObject)]	
NM	string-text	1.4	2.0	FALSE	FALSE	FALSE					
M	date;string-text	1.2	2.0	FALSE	FALSE	FALSE					
F	bitmask	1.2	2.0	FALSE	FALSE	FALSE	0		[fn:IsPDFVersion(1.0,fn:BitsClear(2,32), fn:SinceVersion(1.2,fn:BitsClear(4,32)), fn:SinceVersion(1.3,fn:BitsClear(8,32)), fn:SinceVersion(1.4,fn:BitsClear(9,32)), fn:SinceVersion(1.5,fn:BitsClear(10,32)), fn:SinceVersion(1.7,fn:BitsClear(11,32))]		
AP	dictionary	1.2	2.0	fn:IsRequired((@Rect::0!=@Rect::2) || (@Rect::1!=@Rect::3))	FALSE	FALSE				[fn:SinceVersion(1.2,Appearance)]	
AS	name	1.2	2.0	fn:IsRequired(fn:IsPresent(AP::N::*) || fn:IsPresent(AP::R::*) || fn:IsPresent(AP::D::*))	FALSE	FALSE					
Border	array	1.2	2.0	FALSE	FALSE	FALSE	[0 0 1]			[fn:SinceVersion(1.0,ArrayOf_4AnnotBorderCharacteristics)]	
C	array	1.2	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.1,ArrayOf_4NumbersColorAnnotation)]	
StructParent	integer	1.3	2.0	FALSE	FALSE	FALSE					
OC	dictionary	1.5	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.5,OptContentGroup),fn:SinceVersion(1.5,OptContentMembership)]	
AF	array;dictionary	2.0	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(2.0,ArrayOfFileSpecifications)];[fn:SinceVersion(1.1,FileSpecification)]	
ca	number	2.0	2.0	FALSE	FALSE	FALSE	1.0	[fn:Eval(@self>=0.0 && @self<1.0)]			
CA	number	2.0	2.0	FALSE	FALSE	FALSE	1.0	[fn:Eval(@self>=0.0 && @self<1.0)]			
BM	name	2.0	2.0	FALSE	FALSE	FALSE	Normal	[fn:Deprecated(2.0,Compatible),Normal,Multiply,Screen,Difference,Darken,Lighten,ColorDodge,ColorBurn,Exclusion,HardLight,Overlay,SoftLight,Luminosity,Hue,Saturation,Color]			
Lang	string-text	2.0	2.0	FALSE	FALSE	FALSE					
T	string	1.2	2.0	FALSE	FALSE	FALSE					
Movie	dictionary	1.2	2.0	TRUE	FALSE	FALSE				[fn:SinceVersion(1.2,Movie)]	
A	boolean;dictionary	1.2	2.0	FALSE	FALSE	FALSE				[];[fn:SinceVersion(1.2,MovieActivation)]	
ExData	dictionary	1.7	2.0	FALSE	FALSE	FALSE				[fn:SinceVersion(1.7,ExData3DMarkup),fn:SinceVersion(2.0,ExDataMarkupGeo),fn:SinceVersion(2.0,ExDataProjection)]	
