Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.0		TRUE	FALSE	FALSE		[FontDescriptor]			Table 120
FontName	name	1.0		FALSE	FALSE	FALSE			[fn:Eval(@FontName==parent::@Name)]		
Flags	bitmask	1.0		TRUE	FALSE	FALSE			[fn:Eval(fn:BitClear(5) && fn:BitsClear(8,16) && fn:BitsClear(20,32))]		Table 121
FontBBox	rectangle	1.0		FALSE	FALSE	FALSE					
ItalicAngle	number	1.0		TRUE	FALSE	FALSE					
Ascent	number	1.0		FALSE	FALSE	FALSE					
Descent	number	1.0		FALSE	FALSE	FALSE		[fn:Eval(@Descent<=0)]			https://github.com/pdf-association/pdf-issues/issues/190
Leading	number	1.0		FALSE	FALSE	FALSE	0				
CapHeight	number	1.0		fn:IsRequired(fn:FontHasLatinChars())	FALSE	FALSE					
XHeight	number	1.0		FALSE	FALSE	FALSE	0				
StemV	number	1.0		FALSE	FALSE	FALSE					
StemH	number	1.0		FALSE	FALSE	FALSE	0				
AvgWidth	number	1.0		FALSE	FALSE	FALSE	0				
MaxWidth	number	1.0		FALSE	FALSE	FALSE	0				
MissingWidth	number	1.0		FALSE	FALSE	FALSE	0				
