Key	Type	SinceVersion	DeprecatedIn	Required	IndirectReference	Inheritable	DefaultValue	PossibleValues	SpecialCase	Link	Note
Type	name	1.2		FALSE	FALSE	FALSE		[Pattern]			
PatternType	integer	1.2		TRUE	FALSE	FALSE		[1]			
PaintType	integer	1.2		TRUE	FALSE	FALSE		[1,2]			
TilingType	integer	1.2		TRUE	FALSE	FALSE		[1,2,3]			
BBox	rectangle	1.2		TRUE	FALSE	FALSE					
XStep	number	1.2		TRUE	FALSE	FALSE					
YStep	number	1.2		TRUE	FALSE	FALSE					
Resources	dictionary	1.2		TRUE	FALSE	FALSE				[Resource]	
Matrix	matrix	1.2		FALSE	FALSE	FALSE					
Length	integer	1.2		TRUE	FALSE	FALSE					
Filter	array;name	1.2		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode]	[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfCompressionFilterNames];[]	
DecodeParms	array;dictionary	1.2		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(DecodeParms)==fn:ArrayLength(Filter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode]	
F	dictionary;string	1.2		FALSE	FALSE	FALSE				[FileSpecification];[]	
FFilter	array;name	1.2		FALSE	FALSE	FALSE		[];[ASCIIHexDecode,ASCII85Decode,LZWDecode,FlateDecode,RunLengthDecode]	[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfCompressionFilterNames];[]	
FDecodeParms	array;dictionary	1.2		FALSE	FALSE	FALSE			[fn:Eval(fn:ArrayLength(FDecodeParms)==fn:ArrayLength(FFilter))];[]	[ArrayOfDecodeParams];[FilterLZWDecode,FilterFlateDecode]	
XUID	array	1.2	1.3	FALSE	FALSE	FALSE				[ArrayOfIntegersGeneral]	
