Key	Type	SinceVersion	DeprecatedIn	Required	IndirectRefrence	RequiredValue	DefaultValue	PossibleValues	SpecialCase	Link
N	stream;dictionary	1.2		TRUE	FALSE					
R	stream;dictionary	1.2		FALSE	FALSE		@N			
D	stream;dictionary	1.2		FALSE	FALSE		@N			
Length	integer	1.0		TRUE	FALSE					
Filter	name;array	1.0		FALSE	FALSE					StandardFilters
DecodeParams	dictionary;array	1.0		FALSE	FALSE					
F	file specification	1.2		FALSE	FALSE					
FFilter	name;array	1.0		FALSE	FALSE					StandardFilters
FDecodeParams	dictionary;array	1.2		FALSE	FALSE					
DL	integer	1.5		FALSE	FALSE					
